freq,wst_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022
A,RCV_REU,T,NO	154884 	154365 	171718 	172131 	175741 	183227 	184364 	179348 	168807 	160129
A,RCV_REU,T,PL	362527 	406929 	478611 	380584 	515081 	525314 	679055 	479912 	502798 	452664
A,RCV_REU,T,PT	77829 	75262 	74625 	77760 	90782 	98958 	108585 	97874 	111247 	100196
A,RCV_REU,T,RO	30207 	33748 	35271 	41116 	44851 	61139 	79591 	76703 	: 	:
A,RCV_REU,T,SE	219596 	216842 	234737 	227727 	242258 	254105 	237685 	224954 	220175 	205326
A,RCV_REU,T,SI	: 	5761 	5430 	7023 	9247 	12375 	13977 	17989 	12789 	8140
A,RCV_REU,T,SK	27805 	23721 	20749 	33911 	32369 	36836 	51023 	53250 	41601 	35757
A,RCY,T,AT	51677 	42916 	33159 	34017 	42460 	46206 	37435 	37778 	42854 	29158
A,RCY,T,BE	106717 	103806 	86967 	93971 	102856 	123856 	112802 	100412 	95215 	73782
A,RCY,T,BG	57362 	75621 	80900 	84823 	98494 	94972 	82940 	68921 	84357 	94978
A,RCY,T,CY	7861 	5906 	4707 	2965 	3451 	4929 	6832 	6556 	7640 	5840
A,RCY,T,CZ	89110 	95020 	113896 	120177 	126881 	145375 	154199 	158114 	177376 	192352
A,RCY,T,DE	419890 	429562 	397073 	358320 	455541 	497371 	417313 	379566 	387802 	271919
A,RCY,T,DK	92479 	83955 	72683 	77020 	101414 	105843 	107120 	80618 	89138 	57705
A,RCY,T,EE	11538 	11668 	10472 	9807 	14733 	16557 	14858 	14741 	19876 	14029
A,RCY,T,EL	54577 	46698 e	35692 	33174 	26451 	37655 	25611 	33055 	39732 	35962
A,RCY,T,ES	531484 	509415 	489271 	436748 	445438 	585390 	648525 	575598 	592545 	525652
A,RCY,T,FI	71597 	78591 	82852 	95151 	106659 	99788 	82737 	89441 	93790 	86798
A,RCY,T,FR	889522 	844414 	813511 	845917 	965734 	1330489 	1399430 	1172314 	1191750 	1058927
A,RCY,T,HR	29012 	20112 	18123 	17668 	24475 	29824 	43998 	51570 	37039 	38601
A,RCY,T,HU	11012 	8801 	10064 	8569 	10009 	12015 	16250 	14109 	12483 	11967
A,RCY,T,IE	78070 	75062 	65517 	88851 	126981 	147325 	137028 	112672 	134125 	97752
A,RCY,T,IS	5165 	6209 	7218 	7999 	12061 	15068 	15576 	14432 	13025 	10609
A,RCY,T,IT	673674 	722205 	737474 	775067 	796245 	860620 	956609 	889472 	1051942 	766079
A,RCY,T,LI	277 	159 	210 	220 	280 	187 	159 	166 	124 	10
A,RCY,T,LT	19200 	19908 	20571 	18563 	18106 	17647 	18666 	22962 	24272 	23536
A,RCY,T,LU	2052 	1923 	1493 	1752 	1849 	3020 	2949 	2509 	2537 	1582
A,RCY,T,LV	7841 	7794 	7093 	7000 	9354 	10345 	9567 	10559 	9443 	11926
A,RCY,T,MT	928 	1211 	3277 	3362 	4285 	5801 	5257 	7232 	8694 	6360
A,RCY,T,NL	117652 	121603 	107731 	130915 	133351 	145256 	123843 	138541 	139437 	99109
A,RCY,T,NO	110244 	120413 	140727 	139943 	145941 	152339 	155481 	154831 	145529 	131814
A,RCY,T,PL	313841 	347187 	400743 	317366 	435964 	443042 	593940 	411061 	427187 	385708
A,RCY,T,PT	68263 	64637 	64349 	67257 	78941 	84955 	93465 	81467 	96024 	90648
A,RCY,T,RO	26979 	30728 	31794 	36501 	39575 	53996 	68225 	66990 	: 	:
A,RCY,T,SE	169432 	165195 	168371 	173694 	186484 	192607 	174983 	170089 	164407 	159457
A,RCY,T,SI	: 	4928 	4145 	5678 	7647 	10464 	12077 	16012 	11087 	7048
A,RCY,T,SK	27051 	22917 	19693 	32395 	31065 	35264 	49201 	51356 	40161 	34595
A,RCY_REU,PC,AT	85 	85.8 	86.9 	87.2 	86.6 	86.2 	87.3 	86.1 	85.8 	85.9
A,RCY_REU,PC,BE	88.2 	89.2 	91.3 	92.1 	93.2 	93.5 	92.9 	93 	93.5 	93.5
A,RCY_REU,PC,BG	93.2 	94.1 	94.4 	94.6 	97.6 	94.8 	95.8 	96.1 	95.6 	94.8
A,RCY_REU,PC,CY	84.3 	87.7 	89.1 	90.3 	89.2 	89.8 	88.7 	91 	90.3 	90.6
A,RCY_REU,PC,CZ	80.3 	80.3 	90.2 	90.3 	91.9 	95.5 	93.3 	97.3 	102.2 	117.2
A,RCY_REU,PC,DE	89.8 	89.5 	87.7 	89.3 	89.5 	87.1 	86.9 	86.8 	90 	86.4
A,RCY_REU,PC,DK	86.6 e	86 	91.2 	88.8 	91.5 	89.9 	94.6 	94.8 	82.5 	85.5
A,RCY_REU,PC,EE	77.7 	87 	86 	85.8 	85.9 	87.1 	87.6 	87.2 	85.5 	85.3
A,RCY_REU,PC,EL	88.8 	80.4 	64.5 	100 e	91.9 	98.7 	69.7 	92.8 	91.7 	83.5
A,RCY_REU,PC,ES	83.6 	84.3 	85 	85.4 	85.8 	85.9 	86 	86.2 	86.3 	86.4
A,RCY_REU,PC,EU27_2020	85.3 i	85.4 	87 	87.1 	87.9 	87.3 	89.5 	89.1 	88.1 i	89.1 i
A,RCY_REU,PC,FI	82.5 	82.8 	82.8 	82.8 	82.8 	82.8 	84.7 	84.7 	84.7 	84.7
A,RCY_REU,PC,FR	85.3 	85.9 	87.5 	86.9 	87.4 	86.9 	87.1 	87.6 	87.6 	88.3
A,RCY_REU,PC,HR	100 	89.5 	92.8 	93.9 	99.3 	97.4 	96.3 	97.2 	98 	96.9
A,RCY_REU,PC,HU	90.7 	90.3 	94.6 	95.4 	95.5 	95.1 	94.4 	95.6 	97.1 	96.8
A,RCY_REU,PC,IE	80.4 	82.1 	83.3 	86 	85.9 	86.4 	87.4 	90.3 	87.8 	88.5
A,RCY_REU,PC,IS	99.6 	97.7 	98.5 	96.8 	97.5 	97.5 	97.4 	92.2 	96.7 	92.1
A,RCY_REU,PC,IT	82.2 	83.4 	84.6 	82.5 	83.2 	82.6 	84.2 	84.9 	84.3 	86
A,RCY_REU,PC,LI	78.2 	78.7 	80.5 	75.6 	75.1 	74.5 	75.7 	69.7 	74.3 	85.7
A,RCY_REU,PC,LT	92.1 	93.5 	94.6 	94.9 	94.8 	92.4 	93.5 	94.6 	94.5 	93.9
A,RCY_REU,PC,LU	84 	87 	87 	86 	94.3 	94.1 	96.7 	97.2 	97.1 	96.9
A,RCY_REU,PC,LV	92.4 	92.2 	86.6 	94.3 	84 	96 	88.9 	84.6 	85.7 	91.2
A,RCY_REU,PC,MT	91.9 	45 	77.7 	54.4 	56.1 	81 	79.2 	90.1 	80.8 	84.1
A,RCY_REU,PC,NL	86 	86.1 	87.7 	88.9 	87.1 	87.1 	87.2 	88 	87.3 	87.2
A,RCY_REU,PC,NO	75.4 	82.9 	85.2 	85.2 	86.2 	87.7 	85.2 	87.3 	86.9 	88.2
A,RCY_REU,PC,PL	88.6 	85.5 	94.7 	94.3 	95.7 	93.4 	118.8 	106.8 	94.6 	95.3
A,RCY_REU,PC,PT	82.9 	83.8 	84 	83.5 	85.2 	86.1 	88.2 	87.3 	87.9 	89.1
A,RCY_REU,PC,RO	83.8 	84.1 	85.1 	85.1 	85 	85.2 	85 	85.4 	: 	:
A,RCY_REU,PC,SE	84.6 	84.4 	84.6 	86.7 	88.2 	86.8 	87.4 	87.7 	87.9 	87
A,RCY_REU,PC,SI	: 	85.9 	90.2 	91.6 	102.9 	97.6 	89.5 	110.1 	90.8 	86.7
A,RCY_REU,PC,SK	92.5 	94.8 	88.4 	96.1 	95.7 	95.1 	95.5 	95.6 	95.6 	95.9
A,RCY_REU,T,AT	55679 	45726 	38195 	39536 	49390 	52724 	46757 	43849 	50872 	34036
A,RCY_REU,T,BE	128452 	123716 	108724 	109713 	138387 	165978 	156823 	128811 	121498 	95651
A,RCY_REU,T,BG	58451 	77381 	83134 	87101 	101959 	97697 	84660 	70655 	86162 	96994
A,RCY_REU,T,CY	9910 	9183 	7267 	4601 	4600 	6525 	8804 	8220 	8668 	6997
A,RCY_REU,T,CZ	92210 	98326 	118529 	126354 	147635 	163673 	173470 	173104 	192795 	206887
A,RCY_REU,T,DE	440648 	449773 	416106 	375234 	474810 	518870 	435732 	396354 	400236 	283161
A,RCY_REU,T,DK	111616 	101955 	100051 	89616 	122956 	122892 	135681 	107247 	106517 	87042
A,RCY_REU,T,EE	12733 	14451 	12718 	12112 	16780 	19168 	16533 	16947 	22126 	16052
A,RCY_REU,T,EL	72502 	64087 	54196 	45984 	35528 	45357 	33908 	40507 	47861 	44692
A,RCY_REU,T,ES	645802 	642271 	615700 	548824 	559092 	737686 	817003 	724663 	745931 	661506
A,RCY_REU,T,EU27_2020	4547000 i	4510000 	4537000 	4467000 	5016000 	5898000 	6187000 	5486000 	5758000 i	4869000 i
A,RCY_REU,T,FI	81892 	84298 	88866 	102061 	114403 	107035 	95824 	103588 	108625 	100527
A,RCY_REU,T,FR	1032227 	958318 	925148 	959361 	1067130 	1493604 	1569575 	1304038 	1329517 	1180002
A,RCY_REU,T,HR	29016 	20206 	18194 	17755 	24483 	29824 	43998 	51570 	37039 	38601
A,RCY_REU,T,HU	13486 	12545 	12652 	11953 	13606 	15137 	20637 	19714 	17961 	17581
A,RCY_REU,T,IE	78825 	75690 	66109 	89565 	128194 	148785 	138501 	113817 	135549 	98934
A,RCY_REU,T,IS	5755 	6679 	7608 	8259 	12335 	15299 	15748 	14648 	13223 	10842
A,RCY_REU,T,IT	789173 	795518 	876904 	896097 	911912 	992864 	1088653 	1038612 	1184320 	872459
A,RCY_REU,T,LI	277 	159 	210 	220 	280 	187 	159 	166 	124 	12
A,RCY_REU,T,LT	28577 	31114 	29363 	26334 	25735 	25473 	28131 	38704 	40989 	39060
A,RCY_REU,T,LU	2098 	1960 	1512 	1781 	1932 	3210 	3355 	2914 	3047 	1865
A,RCY_REU,T,LV	8349 	8281 	7784 	7781 	9818 	10622 	9779 	10746 	9605 	11965
A,RCY_REU,T,MT	965 	1275 	3730 	3438 	4586 	6014 	5617 	7522 	9153 	7005
A,RCY_REU,T,NL	162666 	168919 	152706 	181706 	179799 	194415 	162828 	183636 	183469 	131966
A,RCY_REU,T,NO	123325 	131319 	151250 	150093 	155865 	164944 	162575 	161202 	151506 	144464
A,RCY_REU,T,PL	355727 	395242 	467516 	372639 	499607 	515000 	660376 	469967 	489351 	441792
A,RCY_REU,T,PT	71303 	68001 	67578 	70494 	82449 	89743 	99049 	86330 	102211 	96859
A,RCY_REU,T,RO	28952 	32063 	33077 	37994 	41181 	56536 	73213 	71506 	: 	:
A,RCY_REU,T,SE	203484 	200651 	205123 	208770 	219825 	231533 	214560 	203878 	199949 	183059
A,RCY_REU,T,SI	: 	5411 	5123 	6668 	8657 	11651 	13124 	16897 	11986 	7580
A,RCY_REU,T,SK	27452 	23427 	20514 	33478 	31770 	36158 	50156 	52462 	40935 	35329
